Aimag,Year,Season,Seasonal_Temp_C
Bayan-Ulgii,2021,JJA,10.292501608896096
Bayan-Ulgii,2021,MAM,-4.363963534183407
Bayan-Ulgii,2021,SON,-6.560423541891142
Bayan-Ulgii,2022,DJF,-21.770382842432927
Bayan-Ulgii,2022,JJA,10.11378412356324
Bayan-Ulgii,2022,MAM,-3.064553587464058
Bayan-Ulgii,2022,SON,-5.579597701149403
Bayan-Ulgii,2023,DJF,-22.56539258701132
Bayan-Ulgii,2023,JJA,11.057944204980865
Bayan-Ulgii,2023,MAM,-6.274087045019135
Bayan-Ulgii,2023,SON,-5.523786780112526
Bayan-Ulgii,2024,DJF,-22.580787828233486
Bayan-Ulgii,2024,JJA,12.056591609794083
Bayan-Ulgii,2024,MAM,-2.7508927502394407
Bayan-Ulgii,2024,SON,-5.049772848662723
Bayan-Ulgii,2025,DJF,-22.247133183387938
Bayan-Ulgii,2025,JJA,11.75017548192052
Bayan-Ulgii,2025,MAM,-3.197364216654671
Bayan-Ulgii,2025,SON,-7.089411031788771
Bayan-Ulgii,2026,DJF,-20.5925336465068
Bayankhongor,1970,DJF,-14.436768463422645
Bayankhongor,1970,JJA,18.454605812696563
Bayankhongor,1970,MAM,1.1828093522749834
Bayankhongor,1970,SON,-0.09088869874580077
Bayankhongor,1971,DJF,-15.350332569626119
Bayankhongor,1971,JJA,16.34890367040097
Bayankhongor,1971,MAM,2.8848215403047224
Bayankhongor,1971,SON,1.3683266693691265
Bayankhongor,1972,DJF,-16.864483273104277
Bayankhongor,1972,JJA,17.95412367334908
Bayankhongor,1972,MAM,5.370592647528521
Bayankhongor,1972,SON,1.264325378226057
Bayankhongor,1973,DJF,-14.124079515948962
Bayankhongor,1973,JJA,16.832495577830212
Bayankhongor,1973,MAM,3.640166506977224
Bayankhongor,1973,SON,1.462389138659614
Bayankhongor,1974,DJF,-15.531456219175304
Bayankhongor,1974,JJA,17.66269039897801
Bayankhongor,1974,MAM,3.2732607667551328
Bayankhongor,1974,SON,0.2615831147200134
Bayankhongor,1975,DJF,-15.065419044734524
Bayankhongor,1975,JJA,17.358859694378953
Bayankhongor,1975,MAM,1.560886829304268
Bayankhongor,1975,SON,0.8055577212159966
Bayankhongor,1976,DJF,-14.427130558805622
Bayankhongor,1976,JJA,15.999894666371878
Bayankhongor,1976,MAM,1.440181362703934
Bayankhongor,1976,SON,0.7439105339770274
Bayankhongor,1977,DJF,-17.03782527611688
Bayankhongor,1977,JJA,17.607912305915903
Bayankhongor,1977,MAM,2.652383518818812
Bayankhongor,1977,SON,2.9365044743760054
Bayankhongor,1978,DJF,-14.552107742597448
Bayankhongor,1978,JJA,17.37452001031842
Bayankhongor,1978,MAM,4.191708777085813
Bayankhongor,1978,SON,1.8374730140158442
Bayankhongor,1979,DJF,-11.60307797605884
Bayankhongor,1979,JJA,17.22848245872644
Bayankhongor,1979,MAM,2.5331430639111248
Bayankhongor,1979,SON,1.9860633178327296
Bayankhongor,1980,DJF,-13.846283256482755
Bayankhongor,1980,JJA,18.02564152171779
Bayankhongor,1980,MAM,2.0354430384606164
Bayankhongor,1980,SON,2.59469032527518
Bayankhongor,1981,DJF,-14.87356047720277
Bayankhongor,1981,JJA,17.722010428950494
Bayankhongor,1981,MAM,5.0681020292846135
Bayankhongor,1981,SON,-0.4142073721255669
Bayankhongor,1982,DJF,-13.507576334251524
Bayankhongor,1982,JJA,17.111459254618733
Bayankhongor,1982,MAM,4.648006645538545
Bayankhongor,1982,SON,2.3265072228773813
Bayankhongor,1983,DJF,-13.862602123524384
Bayankhongor,1983,JJA,16.922646422956
Bayankhongor,1983,MAM,3.29135250835301
Bayankhongor,1983,SON,2.238866688470443
Bayankhongor,1984,DJF,-17.50590280976683
Bayankhongor,1984,JJA,16.38695736291276
