Aimag,Year,Season,Seasonal_SPEI3
Bayan-Ulgii,1986,SON,-0.173770918092702
Bayan-Ulgii,1987,DJF,0.13410063466415062
Bayan-Ulgii,1987,JJA,1.603436973877603
Bayan-Ulgii,1987,MAM,0.5304975419061218
Bayan-Ulgii,1987,SON,1.2950875115122253
Bayan-Ulgii,1988,DJF,1.7963391107113982
Bayan-Ulgii,1988,JJA,0.5668514952052436
Bayan-Ulgii,1988,MAM,0.42651270117246104
Bayan-Ulgii,1988,SON,0.4262842963277408
Bayan-Ulgii,1989,DJF,0.8669845880790521
Bayan-Ulgii,1989,JJA,0.018085445800432007
Bayan-Ulgii,1989,MAM,-1.034486637119844
Bayan-Ulgii,1989,SON,0.7159316801411197
Bayan-Ulgii,1990,DJF,0.5542029098595697
Bayan-Ulgii,1990,JJA,0.2307538627810582
Bayan-Ulgii,1990,MAM,0.3074158415052617
Bayan-Ulgii,1990,SON,0.251845191944968
Bayan-Ulgii,1991,DJF,0.05006818328104853
Bayan-Ulgii,1991,JJA,0.2699983222934195
Bayan-Ulgii,1991,MAM,-0.419221836017111
Bayan-Ulgii,1991,SON,0.3029875690669128
Bayan-Ulgii,1992,DJF,-0.118361907284077
Bayan-Ulgii,1992,JJA,-0.2503165393852641
Bayan-Ulgii,1992,MAM,-0.028103140359616346
Bayan-Ulgii,1992,SON,1.6497784592536835
Bayan-Ulgii,1993,DJF,0.43802874000203273
Bayan-Ulgii,1993,JJA,1.7783674530920686
Bayan-Ulgii,1993,MAM,1.3311514365174681
Bayan-Ulgii,1993,SON,0.9586788413149231
Bayan-Ulgii,1994,DJF,0.4138719030799451
Bayan-Ulgii,1994,JJA,1.578853724625827
Bayan-Ulgii,1994,MAM,-0.016771632029324655
Bayan-Ulgii,1994,SON,0.3156156186059689
Bayan-Ulgii,1995,DJF,0.05264154020087067
Bayan-Ulgii,1995,JJA,0.09193324550846513
Bayan-Ulgii,1995,MAM,-0.1691753180050052
Bayan-Ulgii,1995,SON,-0.5471254746052227
Bayan-Ulgii,1996,DJF,-1.1989250322935472
Bayan-Ulgii,1996,JJA,0.733913061585062
Bayan-Ulgii,1996,MAM,0.8408271226441251
Bayan-Ulgii,1996,SON,0.8553923108207189
Bayan-Ulgii,1997,DJF,0.9236173523200327
Bayan-Ulgii,1997,JJA,0.12796311092442078
Bayan-Ulgii,1997,MAM,-0.30173638978597705
Bayan-Ulgii,1997,SON,-0.05514188343113646
Bayan-Ulgii,1998,DJF,-0.30137206555058166
Bayan-Ulgii,1998,JJA,0.3315642895317859
Bayan-Ulgii,1998,MAM,0.7767027473094306
Bayan-Ulgii,1998,SON,-0.6403950002178684
Bayan-Ulgii,1999,DJF,-0.27929342367358856
Bayan-Ulgii,1999,JJA,0.23309806113451223
Bayan-Ulgii,1999,MAM,0.48394001095604233
Bayan-Ulgii,1999,SON,0.8536776970193294
Bayan-Ulgii,2000,DJF,-0.8315041720090048
Bayan-Ulgii,2000,JJA,0.1448059533669775
Bayan-Ulgii,2000,MAM,-1.2588067782431305
Bayan-Ulgii,2000,SON,-0.3436305303091488
Bayan-Ulgii,2001,DJF,0.8865741431275925
Bayan-Ulgii,2001,JJA,-0.6338760370707102
Bayan-Ulgii,2001,MAM,0.25513947959010663
Bayan-Ulgii,2001,SON,-0.11671045143631872
Bayan-Ulgii,2002,DJF,-0.8930544989684038
Bayan-Ulgii,2002,JJA,-0.8540268510479481
Bayan-Ulgii,2002,MAM,0.6717286877787542
Bayan-Ulgii,2002,SON,-1.8761447302511498
Bayan-Ulgii,2003,DJF,-0.11248356975820495
Bayan-Ulgii,2003,JJA,0.5446965428303313
Bayan-Ulgii,2003,MAM,-0.1378569083404749
Bayan-Ulgii,2003,SON,0.3477370845915859
Bayan-Ulgii,2004,DJF,-0.5646057431811662
Bayan-Ulgii,2004,JJA,-0.43897881574208436
Bayan-Ulgii,2004,MAM,-0.022544279313969507
Bayan-Ulgii,2004,SON,-0.18911654138613057
Bayan-Ulgii,2005,DJF,0.19531389267490998
Bayan-Ulgii,2005,JJA,0.21910935570888762
Bayan-Ulgii,2005,MAM,-0.3753043349415196
Bayan-Ulgii,2005,SON,0.004853431792818917
Bayan-Ulgii,2006,DJF,-0.027224218706653005
Bayan-Ulgii,2006,JJA,-0.4385248240199298
Bayan-Ulgii,2006,MAM,0.03374310840533814
Bayan-Ulgii,2006,SON,-1.0297034050987828
Bayan-Ulgii,2007,DJF,-0.9048822767344715
Bayan-Ulgii,2007,JJA,-0.9076799948825952
Bayan-Ulgii,2007,MAM,-0.9092852311544538
Bayan-Ulgii,2007,SON,-0.7640277317449464
Bayan-Ulgii,2008,DJF,-0.16368239123059838
Bayan-Ulgii,2008,JJA,-1.0906038965239113
Bayan-Ulgii,2008,MAM,0.5619404168261121
Bayan-Ulgii,2008,SON,-0.5708993221699774
Bayan-Ulgii,2009,DJF,-0.43041679707912817
Bayan-Ulgii,2009,JJA,-1.0415633285205765
Bayan-Ulgii,2009,MAM,-0.0993649447009279
Bayan-Ulgii,2009,SON,0.23627588855435114
Bayan-Ulgii,2010,DJF,1.675885997380471
Bayan-Ulgii,2010,JJA,-0.31068986931149173
Bayan-Ulgii,2010,MAM,1.6546248163493849
Bayan-Ulgii,2010,SON,-0.3744253837546371
Bayan-Ulgii,2011,DJF,0.644898910967698
Bayan-Ulgii,2011,JJA,-0.2417414563869022
Bayan-Ulgii,2011,MAM,-1.1093526637107476
Bayan-Ulgii,2011,SON,-1.4997467913621432
Bayan-Ulgii,2012,DJF,-0.8869708910981184
Bayan-Ulgii,2012,JJA,0.46826908427723896
Bayan-Ulgii,2012,MAM,-1.190581002145494
Bayan-Ulgii,2012,SON,0.6769112563214607
Bayan-Ulgii,2013,DJF,0.818586568550865
Bayan-Ulgii,2013,JJA,0.5530635885298746
Bayan-Ulgii,2013,MAM,-0.11726432286064448
Bayan-Ulgii,2013,SON,-0.06059009420273401
Bayan-Ulgii,2014,DJF,-0.2382069550085936
