Aimag,Year,Mort_hor,Mort_cat,Mort_cam,Mort_sheep,Mort_goat,All_SFU,All,SPEI_PrevSummer,SPEI_PrevSummer_point,Temp_Winter,Temp_Winter_Z_study,Temp_Winter_Z_climate
Dundgovi,2012,0.001675041876046901,0.0,0.0,0.002566158781074579,0.002720870678617157,0.0020949338701031603,0.0013924142671477274,0.4239889645165216,0.4160542711642303,-17.999534523427762,-1.825455864400672,-1.7536076207711133
Dundgovi,2013,0.001388888888888889,0.003623188405797101,0.0,0.002320185614849188,0.002973112719751809,0.0022910167328417472,0.0020610751258573973,-0.13629210996836605,-0.13993710680730914,-17.074475295033597,-1.2669804096814732,-1.175513772426139
Dundgovi,2014,0.001176470588235294,0.002808988764044944,0.0,0.0009758213162745312,0.0008616975441619992,0.0010851146059398878,0.0011645956425433536,-0.139760007394149,-0.13911018408699682,-13.517367720722538,0.8805115660453057,1.047416331390236
Dundgovi,2015,0.001902949571836347,0.004357298474945534,0.003571428571428572,0.001255830642267671,0.001751620248730075,0.0019128470451067556,0.00256782550184164,0.02506016636664537,0.03317892180617349,-12.244220972772832,1.649133927901813,1.843039228215744
Dundgovi,2016,0.01940177849636216,0.03825136612021858,0.003246753246753247,0.01634812825777918,0.03453092263521378,0.02401114604551125,0.02235578975126539,-0.4429303958620101,-0.43384977055732854,-16.66101988227804,-1.0173696901110008,-0.9171346077819098
Dundgovi,2017,0.00145985401459854,0.001594896331738437,0.0,0.001252522441027068,0.0009358577496220576,0.001185594431284426,0.0010486261073972204,0.43520067220784237,0.44155072444112736,-12.949601236979145,1.2232827480952873,1.4022285439209752
Dundgovi,2018,0.03308364544319601,0.06905710491367863,0.002717391304347826,0.01648677499703475,0.02263550715771443,0.02643177184436387,0.02879608476319433,-1.2152974052646135,-1.2160366108232115,-15.27800666467465,-0.1824188979065833,-0.05285326369521597
Dundgovi,2019,0.002455494168201351,0.003942181340341656,0.0,0.002402927202228169,0.005301176744727951,0.003325311832616299,0.002820355891099825,-0.6873064257464767,-0.6843732828677698,-16.795789872354515,-1.098732838739999,-1.0013559201188167
Dundgovi,2020,0.008417508417508417,0.01150895140664962,0.002421307506053269,0.00612549544448448,0.01009283246977547,0.00815604374950301,0.007713219048894252,-0.7941935765451225,-0.7987680514351434,-13.141309626185457,1.107544829322955,1.2824249280285336
Dundgovi,2021,0.06066066066066066,0.1171770972037284,0.04556354916067146,0.1276797677534613,0.1449057962318493,0.11318988064287865,0.09919737420207422,-1.3700061348024444,-1.3762649530254911,-14.898151333177838,0.04690682792121477,0.18452832621718815
Dundgovi,2022,0.001260239445494644,0.0030441400304414,0.002538071065989848,0.000978218338333116,0.001966067137551882,0.0015721899062277058,0.0019573472035621783,-0.15033500411948952,-0.15220176718252765,-14.351210743159182,0.377105030738238,0.5263258898703024
Dundgovi,2023,0.009830693610049153,0.01476510067114094,0.004866180048661801,0.009279665932026447,0.01814893351627791,0.012229832244102668,0.01137811475563125,-0.547491799288202,-0.5512409626221816,-14.405305010287893,0.34444731596158334,0.49252095922589073
Dundgovi,2024,0.2137718396711203,0.1005847953216374,0.03661327231121281,0.1203477470310813,0.1103150954162176,0.13638854806501594,0.11632654995025389,-0.11741804290784234,-0.11012175680994077,-16.89793683711567,-1.160400860464619,-1.0651902456873983
Govi-Altai,1992,0.01420118343195266,0.0201765447667087,0.01680672268907563,0.01409921671018277,0.0132651127534584,0.015268123591442547,0.01570975607027563,-0.07809569504058293,-0.08989565266957156,-12.04833476540332,0.8270468550279154,0.7848023834970326
Govi-Altai,1993,0.06535141800246609,0.1361256544502618,0.02771362586605081,0.07985517449461935,0.08464057921048095,0.08303400882206895,0.0787372904047758,0.40142894873845447,0.4160252403507048,-12.618978525599596,0.4399842735028449,0.41600145600196836
Govi-Altai,1994,0.01005025125628141,0.01608187134502924,0.002557544757033248,0.01552926262412846,0.01279216677195199,0.012946058710693466,0.01140221935088487,1.4958222520440845,1.4865801475816285,-12.827684521706011,0.2984208546635241,0.2811170144173401
Govi-Altai,1995,0.01096491228070175,0.01831501831501831,0.01262626262626263,0.01774177007486412,0.01692973523421589,0.015870748254118022,0.01531553970621254,0.9044082731382501,0.8786101156153854,-12.309554646018238,0.6498637359104747,0.6159787829063667
Govi-Altai,1996,0.01360544217687075,0.02310924369747899,0.002481389578163772,0.01813255523134639,0.01956665929692682,0.017396548240753776,0.015379057996157344,0.26678613780691257,0.28628192312668294,-13.788615391752268,-0.3533699983536107,-0.33992227638258604
Govi-Altai,1997,0.04553903345724908,0.09384775808133472,0.02072538860103627,0.03452066842568162,0.02843399251737039,0.04510639597940822,0.04461336821653441,0.3847821532689231,0.3837600407439382,-11.982170577983117,0.8719254342286477,0.8275635865269841
Govi-Altai,1998,0.04775828460038987,0.1006864988558352,0.02710027100271003,0.05139402082633523,0.05289672544080604,0.057648321897026567,0.05596716014521528,0.26014391199174053,0.24243072928154683,-12.137399703643025,0.7666349004547615,0.7272406714075218
Govi-Altai,1999,0.03192488262910798,0.04225352112676056,0.0169971671388102,0.03126823007817058,0.02633624878522838,0.030963188658127097,0.029756009951615543,0.3726881327121271,0.3784151456297164,-10.862125587710743,1.6316419782419098,1.5514366226687843
Govi-Altai,2000,0.07342995169082125,0.1464646464646465,0.03768115942028986,0.03102295006342982,0.03352443883004567,0.059153559164615906,0.06442462929384662,0.44497523614252293,0.47376380442725635,-13.189712829194004,0.052860277197020564,0.04714201128208047
Govi-Altai,2001,0.0750816104461371,0.1283333333333333,0.02830188679245283,0.07679603633360858,0.06664674237895996,0.07699198879667195,0.07503192185689836,0.38197553575324306,0.3914193391180309,-12.578190792890197,0.4676502294253706,0.44236212916252843
